Flat(id=223916683, fullUrl=https://www.cian.ru/rent/flat/223916683/, totalArea=32.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=63600, agentFee=0))
Flat(id=228419387, fullUrl=https://www.cian.ru/rent/flat/228419387/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=65000, agentFee=50))
Flat(id=163293091, fullUrl=https://www.cian.ru/rent/flat/163293091/, totalArea=44.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.768517, lng=37.671049)), bargainTerms=Flat.BargainTerms(price=65000, agentFee=0))
Flat(id=227682912, fullUrl=https://www.cian.ru/rent/flat/227682912/, totalArea=34.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.803241, lng=37.535377)), bargainTerms=Flat.BargainTerms(price=65000, agentFee=0))
Flat(id=228158274, fullUrl=https://www.cian.ru/rent/flat/228158274/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=65000, agentFee=30))
Flat(id=228559127, fullUrl=https://www.cian.ru/rent/flat/228559127/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.772482, lng=37.583239)), bargainTerms=Flat.BargainTerms(price=65000, agentFee=50))
Flat(id=228222775, fullUrl=https://www.cian.ru/rent/flat/228222775/, totalArea=45.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.753828, lng=37.582861)), bargainTerms=Flat.BargainTerms(price=80000, agentFee=0))
Flat(id=227032740, fullUrl=https://www.cian.ru/rent/flat/227032740/, totalArea=63.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.781626, lng=37.580894)), bargainTerms=Flat.BargainTerms(price=125000, agentFee=0))
Flat(id=228823322, fullUrl=https://www.cian.ru/rent/flat/228823322/, totalArea=14.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.641808, lng=37.534613)), bargainTerms=Flat.BargainTerms(price=34000, agentFee=0))
Flat(id=228673513, fullUrl=https://www.cian.ru/rent/flat/228673513/, totalArea=24.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.840912, lng=37.495231)), bargainTerms=Flat.BargainTerms(price=30000, agentFee=0))
Flat(id=228553086, fullUrl=https://www.cian.ru/rent/flat/228553086/, totalArea=22.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.84073, lng=37.494404)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
Flat(id=193800719, fullUrl=https://www.cian.ru/rent/flat/193800719/, totalArea=20.8, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.648997, lng=37.533921)), bargainTerms=Flat.BargainTerms(price=46000, agentFee=0))
Flat(id=195057860, fullUrl=https://www.cian.ru/rent/flat/195057860/, totalArea=24.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.578218, lng=37.47775)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
Flat(id=228746534, fullUrl=https://www.cian.ru/rent/flat/228746534/, totalArea=29.3, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.731495, lng=37.743615)), bargainTerms=Flat.BargainTerms(price=34000, agentFee=0))
Flat(id=220978974, fullUrl=https://www.cian.ru/rent/flat/220978974/, totalArea=30.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.802462, lng=37.591934)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=50))
Flat(id=149214711, fullUrl=https://www.cian.ru/rent/flat/149214711/, totalArea=39.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.772482, lng=37.583239)), bargainTerms=Flat.BargainTerms(price=50000, agentFee=0))
Flat(id=213441864, fullUrl=https://www.cian.ru/rent/flat/213441864/, totalArea=30.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.755008, lng=37.51061)), bargainTerms=Flat.BargainTerms(price=60000, agentFee=35))
Flat(id=228465786, fullUrl=https://www.cian.ru/rent/flat/228465786/, totalArea=26.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.504206, lng=37.539042)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
